QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
2,0,9,2,0,1,0,2,7,1,3,6,1.070924886302385
2,0,9,4,2,2,1,3,8,-2,NA,-2,1.230195267448457
8,0,12,2,0,2,0,3,1,3,4,2,1.082047781752934
4,1,9,3,0,2,0,3,1,1,4,-2,1.2782539566795583
6,0,9,2,0,2,0,3,1,3,4,-2,0.7107055683064687
5,0,9,2,0,2,0,2,7,2,3,-2,0.8201360713794611
8,1,9,1,0,5,0,2,1,3,6,-2,0.5809487621329237
5,1,9,2,0,2,0,2,5,1,3,-2,0.7168749487377565
5,1,9,2,0,2,0,2,5,1,4,-2,0.7168749487377565
2,0,12,2,-2,3,0,2,1,1,5,-2,0.8595341326047052
5,0,9,3,0,1,0,4,1,1,4,2,1.0664928207337445
7,0,9,2,0,2,0,2,1,3,3,-2,0.7587477712400732
5,1,9,2,0,3,0,2,0,2,5,-2,0.7953791102133595
6,0,9,2,0,2,0,2,1,3,4,3,0.71122382860095
6,1,13,1,0,1,0,2,7,3,2,-2,0.4854911418130068
5,1,9,4,0,4,0,3,1,1,5,-2,1.0636080335669915
5,1,2,3,0,2,0,-3,0,4,6,-2,1.0636080335669915
8,1,9,1,0,5,0,3,0,3,-2,-2,0.6676968182202797
4,0,9,2,0,3,0,2,7,1,5,3,1.174330137515508
3,1,13,2,2,2,0,2,7,1,1,-2,0.7855768113417093
1,1,9,2,0,3,0,2,3,1,4,2,1.0654186890357733
7,0,9,2,0,2,1,3,7,3,2,2,0.7859739063571626
5,1,9,1,0,4,0,2,4,1,3,3,0.5610905792900218
7,0,9,1,0,5,0,4,1,3,5,-2,0.5163318846953282
6,1,9,1,0,5,1,3,5,3,3,1,0.4230535127625635
3,0,9,2,2,2,0,3,3,1,3,8,0.8669696303523103
3,0,9,2,1,2,0,3,1,1,4,-2,0.8676018414337612
6,0,9,2,0,2,0,3,1,3,4,-2,0.71122382860095
2,0,9,2,1,2,0,3,7,1,3,-2,0.9536607392863905
8,1,9,1,0,5,0,3,1,3,3,-2,0.6445678012858994
6,0,9,2,0,2,0,3,1,2,3,-2,0.71122382860095
2,0,9,2,4,2,1,3,1,5,NA,3,0.8658415471229363
5,0,9,2,0,2,0,3,1,3,4,5,0.8261543759089954
4,1,6,2,2,2,0,3,7,1,2,6,0.8996664291864671
6,1,10,2,0,5,1,1,1,3,5,2,0.5825396981220997
5,1,10,2,0,2,1,2,1,5,NA,2,0.7453082312105952
2,1,10,2,3,3,0,2,7,1,2,5,0.7811116793817312
3,1,10,3,0,1,1,1,1,2,5,-2,0.9173528648831991
6,1,10,2,0,2,0,2,1,3,5,2,0.5825396981220997
2,0,10,2,2,3,0,2,1,1,5,2,0.8936256806918971
6,1,11,1,0,5,0,2,1,3,5,-2,0.4336551116584682
6,0,11,2,0,2,1,2,4,3,4,-2,0.7285156446702599
5,1,11,2,0,2,0,3,1,1,3,-2,0.8147169736623894
7,0,9,1,0,5,0,3,4,3,2,2,1.7588834816898689
3,0,9,2,0,3,0,2,7,1,3,-2,2.9533302264555017
-2,0,9,2,0,2,0,3,7,3,2,-2,2.582789270428414
6,0,9,2,0,2,1,3,1,3,4,1,2.4210170270171756
2,1,9,1,3,1,0,3,3,2,3,2,1.946986281048855
2,1,9,1,0,1,0,3,7,1,3,4,1.946986281048855
6,1,9,1,0,1,0,3,1,3,-2,-2,1.4520289868253067
5,1,9,2,0,1,1,3,1,1,2,7,2.7279573790613196
2,0,9,1,0,4,0,2,5,1,4,3,0.6721274603400196
3,0,9,-2,-2,2,0,1,1,1,3,-2,0.8979044084394004
7,1,5,1,0,1,1,2,5,3,5,-2,0.4629435879243834
6,1,9,2,0,2,1,1,1,3,4,-2,0.6372191907996879
6,0,12,2,0,2,-2,2,1,3,5,-2,0.7290064252771538
